standard	concentration	mass_mode	polarity	scan_type	scan_rate	n_scans	target_mass	min_intensity	min_width	max_width	max_abs_mass_shift
Neg PPG	3e-05	High Mass	Negative	Q1 MS	10	10	44.4536250999663	7e+08	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	10	10	411.059174992144	3e+08	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	10	10	585.713326641359	5e+07	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	10	10	933.426800023997	1e+07	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	10	10	1223.44840650936	4e+06	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	10	10	1572.11922719306	5e+07	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	10	10	1863.31448993227	1e+06	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	10	10	1979.03799255844	3e+08	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	200	50	44.4536250999663	4e+08	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	200	50	411.059174992144	7e+07	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	200	50	585.713326641359	9e+08	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	200	50	933.426800023997	7e+06	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	200	50	1223.44840650936	4e+07	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	200	50	1572.11922719306	8e+08	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	200	50	1863.31448993227	6e+08	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	200	50	1979.03799255844	1e+06	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	1000	100	44.4536250999663	5e+06	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	1000	100	411.059174992144	8e+06	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	1000	100	585.713326641359	5e+06	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	1000	100	933.426800023997	3e+06	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	1000	100	1223.44840650936	7e+06	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	1000	100	1572.11922719306	8e+07	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	1000	100	1863.31448993227	1e+07	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	1000	100	1979.03799255844	8e+08	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	2000	200	44.4536250999663	5e+06	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	2000	200	411.059174992144	4e+08	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	2000	200	585.713326641359	8e+06	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	2000	200	933.426800023997	4e+07	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	2000	200	1223.44840650936	8e+06	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	2000	200	1572.11922719306	9e+08	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	2000	200	1863.31448993227	1e+06	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	2000	200	1979.03799255844	8e+07	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	20000	2000	44.4536250999663	8e+07	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	20000	2000	411.059174992144	5e+06	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	20000	2000	585.713326641359	4e+06	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	20000	2000	933.426800023997	1e+08	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	20000	2000	1223.44840650936	1e+07	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	20000	2000	1572.11922719306	5e+06	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	20000	2000	1863.31448993227	7e+06	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q1 MS	20000	2000	1979.03799255844	3e+06	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	10	10	44.4536250999663	3e+06	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	10	10	411.059174992144	7e+06	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	10	10	585.713326641359	4e+08	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	10	10	933.426800023997	2e+07	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	10	10	1223.44840650936	3e+07	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	10	10	1572.11922719306	4e+07	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	10	10	1863.31448993227	9e+06	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	10	10	1979.03799255844	6e+08	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	200	50	44.4536250999663	6e+07	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	200	50	411.059174992144	3e+06	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	200	50	585.713326641359	7e+07	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	200	50	933.426800023997	4e+08	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	200	50	1223.44840650936	9e+08	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	200	50	1572.11922719306	9e+07	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	200	50	1863.31448993227	6e+06	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	200	50	1979.03799255844	5e+08	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	1000	100	44.4536250999663	3e+06	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	1000	100	411.059174992144	7e+08	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	1000	100	585.713326641359	9e+06	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	1000	100	933.426800023997	3e+06	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	1000	100	1223.44840650936	3e+07	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	1000	100	1572.11922719306	1e+06	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	1000	100	1863.31448993227	2e+06	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	1000	100	1979.03799255844	1e+07	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	2000	200	44.4536250999663	3e+07	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	2000	200	411.059174992144	4e+07	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	2000	200	585.713326641359	9e+08	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	2000	200	933.426800023997	4e+06	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	2000	200	1223.44840650936	1e+07	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	2000	200	1572.11922719306	4e+07	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	2000	200	1863.31448993227	8e+08	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	2000	200	1979.03799255844	2e+07	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	20000	2000	44.4536250999663	9e+08	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	20000	2000	411.059174992144	8e+08	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	20000	2000	585.713326641359	1e+08	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	20000	2000	933.426800023997	8e+07	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	20000	2000	1223.44840650936	5e+07	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	20000	2000	1572.11922719306	6e+08	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	20000	2000	1863.31448993227	7e+08	0.6	0.8	0.1
Neg PPG	3e-05	High Mass	Negative	Q3 MS	20000	2000	1979.03799255844	4e+06	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	10	10	44.4536250999663	8e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	10	10	411.059174992144	6e+08	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	10	10	585.713326641359	1e+06	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	10	10	933.426800023997	3e+08	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	10	10	1223.44840650936	3e+08	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	10	10	1572.11922719306	1e+08	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	10	10	1863.31448993227	5e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	10	10	1979.03799255844	6e+06	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	200	50	44.4536250999663	5e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	200	50	411.059174992144	7e+06	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	200	50	585.713326641359	2e+08	0.6	0.8	0.1
